id_spoti,id_lastfm,artist_name,listeners,popularity,genres,start_date,language
6kACVPfCOnqzgfEF5ryl0x,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,Johnny Cash,4171509,,"country, folk, classic rock, rock, rockabilly, americana",1954,ENG
5e4Dhzv426EvQe3aDb64jL,faabb55d-3c9e-4c23-8779-732ac2ee2c0d,Shania Twain,1937792,,"country, pop, country pop",1983,ENG
70kkdajctXSbqSMJbQO424,d1393ecb-431b-4fde-a6ea-d769f2f040cb,Kacey Musgraves,1191291,,"country, pop, country pop, americana",2002,ENG
6roFdX1y5BYSbp60OTJWMd,7e5cfc9a-e9e1-46f1-b81a-861b12049488,Tim McGraw,1211518,,country,1990,ENG
2ye2Wgw4gimLv2eAKyk1NB,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,Metallica,5310887,,"heavy metal, metal, hard rock, rock",1981,ENG
7oPftvlwr6VrsViSDV7fJY,084308bd-1654-436f-ba03-df6697104e19,Green Day,6763441,,"rock, punk, pop punk, alternative, alternative rock, pop",1987,ENG
1co4F2pPNH8JjTutZkmgSm,d6ed7887-a401-47a8-893c-34b967444d26,Ramones,2812133,,"punk, classic rock, rock, pop punk",1974,ENG
74ASZWbe4lXaubB36ztrGX,72c536dc-7137-4477-a521-567eeb840fa8,Bob Dylan,4382059,,"folk, classic rock, folk rock, rock, country",1959,ENG
5hW4L92KnC6dX9t7tYM4Ve,a6de8ef9-b1a1-4756-97aa-481bbb8a4069,Joni Mitchell,1767907,,"folk, folk rock, jazz, classic rock",1964,ENG
7nwUJBm0HE4ZxD3f5cy5ok,2f9ecbed-27be-40e6-abca-6de49d50299e,Aretha Franklin,2964896,,"soul, jazz, rnb",1956,ENG
7guDJrEfX3qb6FEbdPA5qi,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,Stevie Wonder,4093630,,"soul, funk, pop, rnb, rock",1961,ENG
2h93pZq0e7k5yf4dywlkpM,e520459c-dff4-491d-a6e4-c97be35e0044,Frank Ocean,4420352,,"rnb, soul, hip-hop, r&b, hip hop, pop",2005,ENG
2YZyLoL8N0Wb9xBt1NhZWg,381086ea-f511-4aba-bdf9-71c753dc5077,Kendrick Lamar,5276111,,"hip-hop, rap, hip hop",2003,ENG
7dGJo4pcD2V6oG8kP0tJRR,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,7952564,,"rap, hip-hop, hip hop, pop",1988,ENG
0kbYTNQb4Pb1rPbbaF0pT4,561d854a-6a28-4aa7-8c99-323e6ce46c2a,Miles Davis,2437041,,"jazz, instrumental",1944,INSTR
5V0MlUE1Bft0mbLlND7FJz,54799c0e-eb45-4eea-996d-c4d71a63c499,Ella Fitzgerald,2997203,,"jazz, vocal jazz",1934,ENG
7G1GBhoKtEPnP86X2PvEYO,2944824d-4c26-476f-a981-be849081942f,Nina Simone,3047403,,"jazz, soul, vocal jazz",1954,ENG
2QsynagSdAqZj3U9HgDzjD,c33627c6-ef0d-49de-9ef0-c4804190040f,Bob Marley & The Wailers,2273028,,"reggae, rock",1962,ENG
0dmPX6ovclgOy8WWJaFEUU,5700dcd4-c139-4f31-aa3e-6382b9af9032,Kraftwerk,1417990,,"electronic, synthpop, electronica, electro, techno",1970,GER
0oea1hwGMfUxZbLxJc1XUN,7db6aae5-6644-4513-9bfc-ca2e79d4469c,Peter Tosh,864883,,reggae,1963,ENG
3rJ3m1tM6vUgiWLjfV8sRf,2caa54a7-b08c-41da-b892-3a41abe778be,Jimmy Cliff,963417,,"reggae, soul",1962,ENG
6ZFv3wQwwWPiVDWhv0mjQK,,Toots & The Maytals,413107,,"reggae, soul",1962,ENG
